Word,Joint_Prob,Posterior_Prob,Frequency
valley,1.0887096774193543,0.5443548387096772,2
jean,1.0869565217391302,0.5434782608695651,2
hank,1.083333333333335,0.5416666666666675,2
floyd,1.083333333333335,0.5416666666666675,2
ruler,1.083333333333335,0.5416666666666675,2
health,1.0797766254487435,0.5398883127243718,2
rate,1.079668049792531,0.5398340248962655,2
cost,1.0791666666666666,0.5395833333333333,2
teach,1.0756013745704471,0.5378006872852236,2
care,1.0750718390804603,0.5375359195402302,2
latino,1.0750000000000004,0.5375000000000002,2
across,1.0707547169811318,0.5353773584905659,2
ideal,1.0677966101694916,0.5338983050847458,2
hint,1.0645161290322576,0.5322580645161288,2
j.,1.0624999999999998,0.5312499999999999,2
king,1.060975609756098,0.353658536585366,3
neither,1.0604395604395611,0.5302197802197806,2
clever,1.0588235294117634,0.26470588235294085,4
knew,1.058659217877095,0.35288640595903165,3
ahead,1.0582726326742973,0.5291363163371486,2
school-to-work,1.0555555555555556,0.5277777777777778,2
marc,1.0454545454545456,0.5227272727272728,2
congo,1.0408163265306125,0.5204081632653063,2
poorest,1.0360360360360357,0.5180180180180178,2
$,1.0358945597307907,0.5179472798653953,2
principi,1.0357142857142851,0.5178571428571426,2
act,1.0341812400635935,0.5170906200317967,2
year,1.0334285714285711,0.5167142857142856,2
detroit,1.0326086956521738,0.5163043478260869,2
time,1.0320197044334978,0.5160098522167489,2
civilian,1.0312499999999993,0.5156249999999997,2
clark,1.028985507246377,0.5144927536231885,2
player,1.0250000000000006,0.5125000000000003,2
held,1.021951219512195,0.5109756097560975,2
progress,1.0168439716312057,0.5084219858156028,2
punish,1.0142857142857145,0.5071428571428572,2
british,1.0027173913043472,0.33423913043478237,3
apec,1.0000000000000013,0.25000000000000033,4
imper,1.0,0.5,2
elli,1.0,0.5,2
compens,1.0,0.5,2
shami,1.0,0.5,2
buntzi,1.0,0.5,2
noncombat,1.0,0.5,2
manhour,1.0,0.5,2
delv,1.0,0.5,2
penitentiari,1.0,0.5,2
hurrican,1.0,0.5,2
spitbal,1.0,0.5,2
eight-gam,1.0,0.5,2
scorbi,1.0,0.5,2
madrassah,1.0,0.5,2
/audience-memb,1.0,0.5,2
anti-immigr,1.0,0.5,2
you/protect,1.0,0.5,2
300-kilomet,1.0,0.5,2
nyerer,1.0,0.5,2
kati,1.0,0.5,2
'x,1.0,0.5,2
untap,1.0,0.5,2
halv,1.0,0.5,2
omit,1.0,0.5,2
what,1.0,0.5,2
charl,1.0,0.5,2
carta,1.0,0.5,2
zogbi,1.0,0.5,2
neuberg,1.0,0.5,2
countri,1.0,0.5,2
masteri,1.0,0.5,2
circu,1.0,0.5,2
accid,1.0,0.5,2
state-control,1.0,0.5,2
autom,1.0,0.5,2
tomlin,1.0,0.5,2
straddl,1.0,0.5,2
expans,1.0,0.5,2
lighthous,1.0,0.5,2
weve,1.0,0.5,2
deathb,1.0,0.5,2
juarez,1.0,0.5,2
sidl,1.0,0.5,2
biotechnolog,1.0,0.5,2
creat,1.0,0.5,2
burl,1.0,0.5,2
dioxid,1.0,0.5,2
ambul,1.0,0.5,2
our,1.0,0.5,2
sonni,1.0,0.5,2
brandei,1.0,0.5,2
ossin,1.0,0.5,2
chieftain,1.0,0.5,2
agil,1.0,0.5,2
inscript,1.0,0.5,2
plattsburg,1.0,0.5,2
such,1.0,0.5,2
ami,1.0,0.5,2
96,1.0,0.5,2
be,1.0,0.5,2
huntsman,1.0,0.5,2
debeer,1.0,0.5,2
unsustain,1.0,0.5,2
riverdal,1.0,0.5,2
makerer,1.0,0.5,2
mccurri,1.0,0.5,2
roadrunn,1.0,0.5,2
caregiv,1.0,0.5,2
rickey,1.0,0.5,2
bugl,1.0,0.5,2
cha-ch,1.0,0.5,2
psycho-babbl,1.0,0.5,2
everglad,1.0,0.5,2
caldwel,1.0,0.5,2
agricultur,1.0,0.5,2
crossfir,1.0,0.5,2
been,1.0,0.5,2
brad,1.0,0.5,2
7e,1.0,0.5,2
sublimin,1.0,0.5,2
materi,1.0,0.5,2
moriarti,1.0,0.5,2
powel,1.0,0.5,2
hispano,1.0,0.5,2
agu,1.0,0.5,2
hermlan,1.0,0.5,2
inessenti,1.0,0.5,2
lower-incom,1.0,0.5,2
minc,1.0,0.5,2
botan,1.0,0.5,2
breadbasket,1.0,0.5,2
katharin,1.0,0.5,2
filibust,1.0,0.5,2
manipul,1.0,0.5,2
reminisc,1.0,0.5,2
reinvolv,1.0,0.5,2
doubl,1.0,0.5,2
beggar,1.0,0.5,2
smather,1.0,0.5,2
disra,1.0,0.5,2
pottsvil,1.0,0.5,2
nikolai,1.0,0.5,2
dinar,1.0,0.5,2
johnsburi,1.0,0.5,2
